time,sample,n_simulations,P_failure,g_mean,g_std,g_min,g_max,carb_depth_mean,carb_depth_std,lambda_1_mean,lambda_2_mean,lambda_3_mean,lambda_4_mean
60,5,1000,0.738,-0.22845138983125565,0.3620300271112467,-1.4702642665896857,0.855550207363347,16.052447846192596,0.3620300271112467,-0.21491390247447975,4.1744773674994695,0.08059480641430634,0.15087469973186957
70,5,1000,1.0,-1.7651502934382752,0.3442785693795231,-2.937542795257963,-0.8219674680503761,17.589146749799614,0.3442785693795231,-1.750193965914047,4.234714396045261,0.09948399288534036,0.18177915980475706
80,5,1000,1.0,-3.0066421126403746,0.3882958210217373,-4.040298022325819,-1.7190085341285926,18.830638569001717,0.3882958210217373,-3.030491838630835,3.607832024019258,0.2297227307756712,0.11205358069277954
90,5,1000,1.0,-4.160994184991292,0.46505664941821073,-5.553707031923961,-2.7629483810688296,19.984990641352635,0.46505664941821073,-4.1529655674565324,2.8670642310576233,0.18468527581311117,0.2178970252387408
100,5,1000,1.0,-5.3041290628116995,0.5080286551317172,-7.0821602276008075,-3.5383528413062653,21.12812551917304,0.5080286551317172,-5.282375883166045,2.850299920648617,0.10459309170540881,0.18580684536331699
0,6,1000,0.0,15.328509029859852,0.03236893143851227,15.209730670940557,15.390074630420388,1.570195437743417,0.03236893143851227,15.33282458894405,41.98116179094983,0.08072539835400883,0.3438701941445362
10,6,1000,0.0,7.163912352401099,0.22486142231496345,6.310389990087986,7.969289151589015,9.73479211520217,0.22486142231496345,7.165881427453683,7.207855920452091,0.06032947845452253,0.07653024033827574
20,6,1000,0.0,3.35004561146131,0.3729133913176408,1.996202223296919,4.403139790337525,13.548658856141959,0.3729133913176408,3.3487280013057723,3.730804242967345,0.17377538405453394,0.1670415757923328
30,6,1000,0.473,0.040186788426941025,0.5319833418242897,-1.6127536003796692,1.7702624784614773,16.85851767917633,0.5319833418242897,0.03731278331289386,2.8449806057465556,0.11778675536845416,0.1076631891467454
40,6,1000,1.0,-2.8286172369410223,0.5296416831780049,-4.583151248580059,-1.1942118128156771,19.72732170454429,0.5296416831780049,-2.8290539339974137,2.68170630657417,0.15667088266022894,0.15510621106031036
50,6,1000,1.0,-5.059075001274286,0.5938968724666508,-7.016885906428552,-3.165234659581447,21.957779468877554,0.5938968724666508,-5.039897350614703,2.438280072263199,0.11344874855062838,0.17460503142525127
60,6,1000,1.0,-7.5746794555831185,0.6257679681244402,-9.78667547344958,-5.705045480154062,24.47338392318639,0.6257679681244402,-7.5506782582215495,2.4446674388237644,0.07183543059465826,0.14376679347010898
70,6,1000,1.0,-9.967294667300543,0.6305138849337244,-11.912778505976554,-7.867988719378843,26.865999134903813,0.6305138849337244,-9.972527419371021,2.28374107109445,0.15435454371789273,0.13864710487522247
80,6,1000,1.0,-12.125475546263981,0.652931633305793,-14.059132208795155,-10.13475094743357,29.02418001386725,0.652931633305793,-12.127273187474454,2.294113198920378,0.12218185451109152,0.1170124667089656
90,6,1000,1.0,-14.168895884355946,0.74760583945372,-16.506648854004222,-11.815620041132814,31.067600351959214,0.74760583945372,-14.155185882596784,1.901661399109174,0.138299757768956,0.17311487704479042
100,6,1000,1.0,-16.34031972452104,0.8024350889529552,-18.871806415265365,-13.90248016168826,33.23902419212431,0.8024350889529552,-16.33667870660212,1.8196172263497066,0.13259973792009097,0.14116275681314863
0,7,1000,0.0,19.334641303527246,0.14689686493033186,18.926861192257142,19.706560732162597,0.6504321546565217,0.14689686493033188,19.33757487673943,9.488538285571506,0.15061541345049093,0.18868636342746245
10,7,1000,0.0,13.897749594607863,0.025807235811048063,13.819687738956194,14.013088260579377,6.087323863575903,0.025807235811048043,13.896833021355754,61.26255638100577,0.11914665072913126,0.052974362039109546
20,7,1000,0.0,11.557018044496527,0.029243070475106405,11.495601764097593,11.745150943183601,8.428055413687241,0.029243070475106405,11.529477959708116,34.215952725531736,7.551190405843443,-0.055934240171216294
30,7,1000,0.0,10.031783161091413,0.08569602135443201,9.778293740411028,10.408310399532516,9.953290297092353,0.08569602135443201,10.026206664892673,17.50814899834751,0.18635064862869877,0.06319977072446045
40,7,1000,0.0,8.637108234121287,0.09113282910779445,8.386458736644624,8.93922939283448,11.34796522406248,0.09113282910779445,8.634689522045006,15.108462138779746,0.20412362123054717,0.15337255585497395
50,7,1000,0.0,7.233443910429772,0.11458143800473199,6.826600102430156,7.523024965407423,12.751629547753994,0.11458143800473199,7.2428531470448725,10.91855557441227,0.17637432825427005,0.33808929418872846
60,7,1000,0.0,5.725493283840621,0.12196589029491849,5.400566903196038,6.172671018963824,14.259580174343144,0.12196589029491849,5.72336425049961,12.261999405936397,0.1374925304013939,0.10468813500159135
70,7,1000,0.0,4.305666968030542,0.14305795807922364,3.931496283839415,5.163688349915338,15.679406490153223,0.14305795807922364,4.276083397733665,11.329075520486553,0.35032364752953876,-0.07038808397993264
80,7,1000,0.0,3.177259895000644,0.24156218004373006,2.6963972050714986,3.9591890304997435,16.807813563183124,0.24156218004373006,3.148462016533615,4.878601671675041,0.4331095893160327,0.1929235000014193
90,7,1000,0.0,2.1661289049067274,0.25118080988986585,1.504218964146343,3.0889197543545315,17.818944553277042,0.25118080988986585,2.140412901704085,5.616832618158692,0.2747874570128403,0.07655722776734011
100,7,1000,0.0,0.9286061204217578,0.20266504252204615,0.4328716817535856,1.691751875069695,19.056467337762008,0.20266504252204615,0.9065824912016596,6.888079733364762,0.2905813968047843,0.0792782851951115
